short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
SUMNZ 80000001 7fffffff 00 7fffffff 00000002 01 01
SUMNZ 80000001 7fffffff 10 7fffffff 00000000 00 10
SUMNZ 80000001 7fffffff 01 7fffffff 00000002 01 01
SUMNZ 80000001 7fffffff 11 7fffffff 00000000 00 10
SUMNZ fffffffe 7fffffff 10 7fffffff 7ffffffd 00 00
SUMNZ fffffffe 7fffffff 11 7fffffff 7ffffffd 00 00
SUMNZ ffffffff 7fffffff 00 7fffffff 80000000 00 00
SUMNZ ffffffff 7fffffff 10 7fffffff 7ffffffe 00 00
SUMNZ ffffffff 7fffffff 01 7fffffff 80000000 00 00
SUMNZ ffffffff 7fffffff 11 7fffffff 7ffffffe 00 00
SUMNZ 00000000 80000000 00 80000000 80000000 00 01
SUMNZ 00000000 80000000 01 80000000 80000000 00 01
SUMNZ 00000001 80000000 00 80000000 80000001 00 01
SUMNZ 00000001 80000000 10 80000000 80000001 00 00
SUMNZ 00000001 80000000 01 80000000 80000001 00 01
SUMNZ 00000001 80000000 11 80000000 80000001 00 00
SUMNZ 00000002 80000000 00 80000000 80000002 00 01
SUMNZ 00000002 80000000 10 80000000 80000002 00 00
SUMNZ 00000002 80000000 01 80000000 80000002 00 01
SUMNZ 00000002 80000000 11 80000000 80000002 00 00
SUMNZ 7fffffff 80000000 00 80000000 ffffffff 00 01
SUMNZ 7fffffff 80000000 10 80000000 ffffffff 00 00
SUMNZ 7fffffff 80000000 01 80000000 ffffffff 00 01
SUMNZ 7fffffff 80000000 11 80000000 ffffffff 00 00
SUMNZ 80000000 80000000 00 80000000 00000000 01 10
SUMNZ 80000000 80000000 10 80000000 00000000 01 11
SUMNZ 80000000 80000000 01 80000000 00000000 01 10
SUMNZ 80000000 80000000 11 80000000 00000000 01 11
SUMNZ 80000001 80000000 00 80000000 00000001 01 00
SUMNZ 80000001 80000000 10 80000000 00000001 01 01
SUMNZ 80000001 80000000 01 80000000 00000001 01 00
SUMNZ 80000001 80000000 11 80000000 00000001 01 01
SUMNZ fffffffe 80000000 00 80000000 7ffffffe 01 00
SUMNZ fffffffe 80000000 10 80000000 7ffffffe 01 01
SUMNZ fffffffe 80000000 01 80000000 7ffffffe 01 00
SUMNZ fffffffe 80000000 11 80000000 7ffffffe 01 01
SUMNZ ffffffff 80000000 00 80000000 7fffffff 01 00
SUMNZ ffffffff 80000000 10 80000000 7fffffff 01 01
SUMNZ ffffffff 80000000 01 80000000 7fffffff 01 00
SUMNZ ffffffff 80000000 11 80000000 7fffffff 01 01
SUMNZ 00000000 80000001 00 80000001 7fffffff 00 00
SUMNZ 00000000 80000001 01 80000001 7fffffff 00 00
SUMNZ 00000001 80000001 00 80000001 80000000 01 01
SUMNZ 00000001 80000001 10 80000001 80000002 00 00
SUMNZ 00000001 80000001 01 80000001 80000000 01 01
SUMNZ 00000001 80000001 11 80000001 80000002 00 00
SUMNZ 00000002 80000001 10 80000001 80000003 00 00
SUMNZ 00000002 80000001 11 80000001 80000003 00 00
SUMNZ 7fffffff 80000001 00 80000001 fffffffe 01 01
SUMNZ 7fffffff 80000001 10 80000001 00000000 00 10
SUMNZ 7fffffff 80000001 01 80000001 fffffffe 01 01
SUMNZ 7fffffff 80000001 11 80000001 00000000 00 10
SUMNZ 80000000 80000001 00 80000001 ffffffff 00 00
SUMNZ 80000000 80000001 10 80000001 00000001 01 01
SUMNZ 80000000 80000001 01 80000001 ffffffff 00 00
SUMNZ 80000000 80000001 11 80000001 00000001 01 01
SUMNZ 80000001 80000001 00 80000001 00000000 00 10
SUMNZ 80000001 80000001 10 80000001 00000002 01 01
SUMNZ 80000001 80000001 01 80000001 00000000 00 10
SUMNZ 80000001 80000001 11 80000001 00000002 01 01
SUMNZ fffffffe 80000001 00 80000001 7ffffffd 00 00
SUMNZ fffffffe 80000001 10 80000001 7fffffff 01 01
SUMNZ fffffffe 80000001 01 80000001 7ffffffd 00 00
SUMNZ fffffffe 80000001 11 80000001 7fffffff 01 01
SUMNZ ffffffff 80000001 00 80000001 7ffffffe 00 00
SUMNZ ffffffff 80000001 10 80000001 80000000 00 00
SUMNZ ffffffff 80000001 01 80000001 7ffffffe 00 00
SUMNZ ffffffff 80000001 11 80000001 80000000 00 00
SUMNZ 00000000 fffffffe 00 fffffffe 00000002 00 00
SUMNZ 00000000 fffffffe 01 fffffffe 00000002 00 00
SUMNZ 00000001 fffffffe 00 fffffffe 00000003 00 00
SUMNZ 00000001 fffffffe 10 fffffffe ffffffff 00 00
SUMNZ 00000001 fffffffe 01 fffffffe 00000003 00 00
SUMNZ 00000001 fffffffe 11 fffffffe ffffffff 00 00
SUMNZ 00000002 fffffffe 00 fffffffe 00000004 00 00
SUMNZ 00000002 fffffffe 10 fffffffe 00000000 00 10
SUMNZ 00000002 fffffffe 01 fffffffe 00000004 00 00
SUMNZ 00000002 fffffffe 11 fffffffe 00000000 00 10
SUMNZ 7fffffff fffffffe 00 fffffffe 80000001 01 01
SUMNZ 7fffffff fffffffe 10 fffffffe 7ffffffd 00 00
SUMNZ 7fffffff fffffffe 01 fffffffe 80000001 01 01
SUMNZ 7fffffff fffffffe 11 fffffffe 7ffffffd 00 00
SUMNZ 80000000 fffffffe 00 fffffffe 80000002 00 00
SUMNZ 80000000 fffffffe 10 fffffffe 7ffffffe 01 01
SUMNZ 80000000 fffffffe 01 fffffffe 80000002 00 00
SUMNZ 80000000 fffffffe 11 fffffffe 7ffffffe 01 01
SUMNZ 80000001 fffffffe 00 fffffffe 80000003 00 00
SUMNZ 80000001 fffffffe 10 fffffffe 7fffffff 01 01
SUMNZ 80000001 fffffffe 01 fffffffe 80000003 00 00
SUMNZ 80000001 fffffffe 11 fffffffe 7fffffff 01 01
SUMNZ fffffffe fffffffe 00 fffffffe 00000000 00 10
SUMNZ fffffffe fffffffe 10 fffffffe fffffffc 00 00
SUMNZ fffffffe fffffffe 01 fffffffe 00000000 00 10
SUMNZ fffffffe fffffffe 11 fffffffe fffffffc 00 00
SUMNZ ffffffff fffffffe 00 fffffffe 00000001 00 00
SUMNZ ffffffff fffffffe 10 fffffffe fffffffd 00 00
SUMNZ ffffffff fffffffe 01 fffffffe 00000001 00 00
SUMNZ ffffffff fffffffe 11 fffffffe fffffffd 00 00
SUMNZ 00000000 ffffffff 00 ffffffff 00000001 00 00
SUMNZ 00000000 ffffffff 01 ffffffff 00000001 00 00
SUMNZ 00000001 ffffffff 00 ffffffff 00000002 00 00
SUMNZ 00000001 ffffffff 10 ffffffff 00000000 00 10
SUMNZ 00000001 ffffffff 01 ffffffff 00000002 00 00
SUMNZ 00000001 ffffffff 11 ffffffff 00000000 00 10
SUMNZ 00000002 ffffffff 00 ffffffff 00000003 00 00
SUMNZ 00000002 ffffffff 10 ffffffff 00000001 00 00
SUMNZ 00000002 ffffffff 01 ffffffff 00000003 00 00
SUMNZ 00000002 ffffffff 11 ffffffff 00000001 00 00
SUMNZ 7fffffff ffffffff 00 ffffffff 80000000 01 01
SUMNZ 7fffffff ffffffff 10 ffffffff 7ffffffe 00 00
SUMNZ 7fffffff ffffffff 01 ffffffff 80000000 01 01
SUMNZ 7fffffff ffffffff 11 ffffffff 7ffffffe 00 00
SUMNZ 80000000 ffffffff 00 ffffffff 80000001 00 00
SUMNZ 80000000 ffffffff 10 ffffffff 7fffffff 01 01
SUMNZ 80000000 ffffffff 01 ffffffff 80000001 00 00
SUMNZ 80000000 ffffffff 11 ffffffff 7fffffff 01 01
SUMNZ 80000001 ffffffff 00 ffffffff 80000002 00 00
SUMNZ 80000001 ffffffff 10 ffffffff 80000000 00 00
SUMNZ 80000001 ffffffff 01 ffffffff 80000002 00 00
SUMNZ 80000001 ffffffff 11 ffffffff 80000000 00 00
SUMNZ fffffffe ffffffff 10 ffffffff fffffffd 00 00
SUMNZ fffffffe ffffffff 11 ffffffff fffffffd 00 00
SUMNZ ffffffff ffffffff 00 ffffffff 00000000 00 10
SUMNZ ffffffff ffffffff 10 ffffffff fffffffe 00 00
SUMNZ ffffffff ffffffff 01 ffffffff 00000000 00 10
SUMNZ ffffffff ffffffff 11 ffffffff fffffffe 00 00
NEGZ 00000000 00000001 00 00000001 ffffffff 00 00
NEGZ 00000000 00000001 11 ffffffff 00000001 00 00
NEGZ 00000001 00000001 00 00000001 ffffffff 00 00
NEGZ 00000001 00000001 11 ffffffff 00000001 00 00
NEGZ 00000002 00000001 00 00000001 ffffffff 00 00
NEGZ 00000002 00000001 11 ffffffff 00000001 00 00
NEGZ 7fffffff 00000001 00 00000001 ffffffff 00 00
NEGZ 7fffffff 00000001 11 ffffffff 00000001 00 00
NEGZ 80000000 00000001 00 00000001 ffffffff 00 00
NEGZ 80000000 00000001 11 ffffffff 00000001 00 00
NEGZ 80000001 00000001 00 00000001 ffffffff 00 00
NEGZ 80000001 00000001 11 ffffffff 00000001 00 00
NEGZ fffffffe 00000001 00 00000001 ffffffff 00 00
NEGZ fffffffe 00000001 11 ffffffff 00000001 00 00
NEGZ ffffffff 00000001 00 00000001 ffffffff 00 00
NEGZ ffffffff 00000001 11 ffffffff 00000001 00 00
NEGZ 00000000 00000002 00 00000002 fffffffe 00 00
NEGZ 00000000 00000002 11 fffffffe 00000002 00 00
NEGZ 00000001 00000002 00 00000002 fffffffe 00 00
NEGZ 00000001 00000002 11 fffffffe 00000002 00 00
NEGZ 00000002 00000002 00 00000002 fffffffe 00 00
NEGZ 00000002 00000002 11 fffffffe 00000002 00 00
NEGZ 7fffffff 00000002 00 00000002 fffffffe 00 00
NEGZ 7fffffff 00000002 11 fffffffe 00000002 00 00
NEGZ 80000000 00000002 00 00000002 fffffffe 00 00
NEGZ 80000000 00000002 11 fffffffe 00000002 00 00
NEGZ 80000001 00000002 00 00000002 fffffffe 00 00
NEGZ 80000001 00000002 11 fffffffe 00000002 00 00
NEGZ fffffffe 00000002 00 00000002 fffffffe 00 00
NEGZ fffffffe 00000002 11 fffffffe 00000002 00 00
NEGZ ffffffff 00000002 00 00000002 fffffffe 00 00
NEGZ ffffffff 00000002 11 fffffffe 00000002 00 00
NEGZ 00000000 7fffffff 00 7fffffff 80000001 00 00
NEGZ 00000000 7fffffff 11 80000001 7fffffff 00 00
NEGZ 00000001 7fffffff 00 7fffffff 80000001 00 00
NEGZ 00000001 7fffffff 11 80000001 7fffffff 00 00
NEGZ 00000002 7fffffff 00 7fffffff 80000001 00 00
NEGZ 00000002 7fffffff 11 80000001 7fffffff 00 00
NEGZ 7fffffff 7fffffff 00 7fffffff 80000001 00 00
NEGZ 7fffffff 7fffffff 11 80000001 7fffffff 00 00
NEGZ 80000000 7fffffff 00 7fffffff 80000001 00 00
NEGZ 80000000 7fffffff 11 80000001 7fffffff 00 00
NEGZ 80000001 7fffffff 00 7fffffff 80000001 00 00
NEGZ 80000001 7fffffff 11 80000001 7fffffff 00 00
NEGZ fffffffe 7fffffff 00 7fffffff 80000001 00 00
NEGZ fffffffe 7fffffff 11 80000001 7fffffff 00 00
NEGZ ffffffff 7fffffff 00 7fffffff 80000001 00 00
NEGZ ffffffff 7fffffff 11 80000001 7fffffff 00 00
NEGZ 00000000 80000001 00 80000001 7fffffff 01 01
NEGZ 00000000 80000001 11 7fffffff 80000001 01 01
NEGZ 00000001 80000001 00 80000001 7fffffff 01 01
NEGZ 00000001 80000001 11 7fffffff 80000001 01 01
NEGZ 00000002 80000001 00 80000001 7fffffff 01 01
NEGZ 00000002 80000001 11 7fffffff 80000001 01 01
NEGZ 7fffffff 80000001 00 80000001 7fffffff 01 01
