ROR   ---Q---- CZ
f7 0b 80000000 10
f8 0b 00000000 11
f9 0b 00000000 11
fa 0b 00000000 11
fb 0b 00000000 11
fc 0b 80000000 10
fd 0b 80000000 10
fe 0b 80000000 10
ff 0b 80000000 10
RCR   ---Q---- CZ
00 0c 00000000 01
01 0c 00000000 01
02 0c 00000000 01
03 0c 00000000 01
04 0c 00000001 10
05 0c 00000001 10
06 0c 00000001 10
07 0c 00000001 10
08 0c 00000002 00
09 0c 00000002 00
0a 0c 00000002 00
0b 0c 00000002 00
0c 0c 7fffffff 10
0d 0c 7fffffff 10
0e 0c 7fffffff 10
0f 0c 7fffffff 10
10 0c 80000000 00
11 0c 80000000 00
12 0c 80000000 00
13 0c 80000000 00
14 0c 80000001 10
15 0c 80000001 10
16 0c 80000001 10
17 0c 80000001 10
18 0c fffffffe 00
19 0c fffffffe 00
1a 0c fffffffe 00
1b 0c fffffffe 00
1c 0c ffffffff 10
1d 0c ffffffff 10
1e 0c ffffffff 10
1f 0c ffffffff 10
20 0c 00000000 01
21 0c 00000000 01
22 0c 80000000 00
23 0c 80000000 00
24 0c 00000000 11
25 0c 00000000 11
26 0c 80000000 10
27 0c 80000000 10
28 0c 00000001 00
29 0c 00000001 00
2a 0c 80000001 00
2b 0c 80000001 00
2c 0c 3fffffff 10
2d 0c 3fffffff 10
2e 0c bfffffff 10
2f 0c bfffffff 10
30 0c 40000000 00
31 0c 40000000 00
32 0c c0000000 00
33 0c c0000000 00
34 0c 40000000 10
35 0c 40000000 10
36 0c c0000000 10
37 0c c0000000 10
38 0c 7fffffff 00
39 0c 7fffffff 00
3a 0c ffffffff 00
3b 0c ffffffff 00
3c 0c 7fffffff 10
3d 0c 7fffffff 10
3e 0c ffffffff 10
3f 0c ffffffff 10
40 0c 00000000 01
41 0c 00000000 01
42 0c c0000000 00
43 0c c0000000 00
44 0c 00000000 11
45 0c 00000000 11
46 0c c0000000 10
47 0c c0000000 10
48 0c 00000000 01
49 0c 00000000 01
4a 0c c0000000 00
4b 0c c0000000 00
4c 0c 1fffffff 10
4d 0c 1fffffff 10
4e 0c dfffffff 10
4f 0c dfffffff 10
50 0c 20000000 00
51 0c 20000000 00
52 0c e0000000 00
53 0c e0000000 00
54 0c 20000000 10
55 0c 20000000 10
56 0c e0000000 10
57 0c e0000000 10
58 0c 3fffffff 00
59 0c 3fffffff 00
5a 0c ffffffff 00
5b 0c ffffffff 00
5c 0c 3fffffff 10
5d 0c 3fffffff 10
5e 0c ffffffff 10
5f 0c ffffffff 10
60 0c 00000000 01
61 0c 00000000 01
62 0c fffffffe 00
63 0c fffffffe 00
64 0c 00000000 11
65 0c 00000000 11
66 0c fffffffe 10
67 0c fffffffe 10
68 0c 00000000 01
69 0c 00000000 01
6a 0c fffffffe 00
6b 0c fffffffe 00
6c 0c 00000000 11
6d 0c 00000000 11
6e 0c fffffffe 10
6f 0c fffffffe 10
70 0c 00000001 00
71 0c 00000001 00
72 0c ffffffff 00
73 0c ffffffff 00
74 0c 00000001 10
75 0c 00000001 10
76 0c ffffffff 10
77 0c ffffffff 10
78 0c 00000001 00
79 0c 00000001 00
7a 0c ffffffff 00
7b 0c ffffffff 00
7c 0c 00000001 10
7d 0c 00000001 10
7e 0c ffffffff 10
7f 0c ffffffff 10
80 0c 00000000 01
81 0c 00000000 01
82 0c 00000000 01
83 0c 00000000 01
84 0c 00000001 10
85 0c 00000001 10
86 0c 00000001 10
87 0c 00000001 10
88 0c 00000002 00
89 0c 00000002 00
8a 0c 00000002 00
8b 0c 00000002 00
8c 0c 7fffffff 10
8d 0c 7fffffff 10
8e 0c 7fffffff 10
8f 0c 7fffffff 10
90 0c 80000000 00
91 0c 80000000 00
92 0c 80000000 00
93 0c 80000000 00
94 0c 80000001 10
95 0c 80000001 10
96 0c 80000001 10
97 0c 80000001 10
98 0c fffffffe 00
99 0c fffffffe 00
9a 0c fffffffe 00
9b 0c fffffffe 00
9c 0c ffffffff 10
9d 0c ffffffff 10
9e 0c ffffffff 10
9f 0c ffffffff 10
a0 0c 00000000 01
a1 0c 00000000 01
a2 0c 80000000 00
